Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
JPMorgan Chase,894.24,715.39,831.64,74177.21
Bank of America,391.24,312.99,363.85,32453.36
China Construction Bank,379.01,303.21,352.48,31438.88
Industrial and Commercial Bank of China,378.30999999999995,302.65,351.83,31380.81
Agricultural Bank of China,354.355,283.48,329.55,29393.75
HSBC,342.11,273.69,318.16,28378.02
Morgan Stanley,306.84,245.47,285.36,25452.38
Bank of China,304.885,243.91,283.54,25290.21
Royal Bank of Canada,275.815,220.65,256.51,22878.85
Goldman Sachs,266.80499999999995,213.44,248.13,22131.47
